"Sex","Age recode with <1 year olds and 90+","Race recode (White, Black, Other)","Age-Adjusted Rate","Count","Population"
0,0,0,26.7,2089,7833606
0,0,1,27.7,1529,5514561
0,0,2,21.6,223,1032731
0,0,3,22.9,294,1286314
0,0,4,~,43,0
0,1,0,21.9,6863,31392551
0,1,1,22.9,5077,22184647
0,1,2,17.3,714,4134110
0,1,3,18.0,915,5073794
0,1,4,~,157,0
0,2,0,12.5,4984,39748109
0,2,1,13.1,3693,28247789
0,2,2,10.1,536,5315395
0,2,3,10.2,629,6184925
0,2,4,~,126,0
0,3,0,14.3,5873,41143674
0,3,1,14.7,4334,29449287
0,3,2,11.8,652,5513663
0,3,3,12.2,757,6180724
0,3,4,~,130,0
0,4,0,23.5,9662,41174516
0,4,1,25.3,7513,29691344
0,4,2,15.5,830,5356912
0,4,3,18.7,1143,6126260
0,4,4,~,176,0
0,5,0,38.7,16235,41973013
0,5,1,42.4,12791,30189868
0,5,2,24.3,1277,5261339
0,5,3,27.6,1799,6521806
0,5,4,~,368,0
0,6,0,63.0,27342,43415279
0,6,1,69.1,21119,30579237
0,6,2,45.1,2421,5371179
0,6,3,43.3,3231,7464863
0,6,4,~,571,0
0,7,0,96.0,42243,44015150
0,7,1,102.7,31916,31068620
0,7,2,75.5,3986,5276809
0,7,3,71.9,5513,7669721
0,7,4,~,828,0
0,8,0,144.0,62735,43554743
0,8,1,149.3,46504,31142607
0,8,2,129.2,6555,5074743
0,8,3,117.0,8588,7337393
0,8,4,~,1088,0
0,9,0,226.4,97518,43064698
0,9,1,231.2,72560,31379615
0,9,2,215.7,10448,4842947
0,9,3,191.9,13133,6842136
0,9,4,~,1377,0
0,10,0,359.0,151696,42259011
0,10,1,364.7,114553,31407048
0,10,2,364.6,16363,4488240
0,10,3,298.2,18974,6363723
0,10,4,~,1806,0
0,11,0,561.4,230282,41018451
0,11,1,569.0,176945,31095542
0,11,2,614.6,25088,4082147
0,11,3,438.7,25622,5840762
0,11,4,~,2627,0
0,12,0,824.6,310085,37603213
0,12,1,836.5,242844,29030630
0,12,2,959.6,33000,3438979
0,12,3,607.0,31161,5133604
0,12,4,~,3080,0
0,13,0,1195.0,382128,31978499
0,13,1,1220.2,305065,25001931
0,13,2,1397.5,37354,2672901
0,13,3,840.6,36178,4303667
0,13,4,~,3531,0
0,14,0,1664.8,425543,25561322
0,14,1,1710.5,344864,20161524
0,14,2,1916.9,37158,1938466
0,14,3,1155.7,40002,3461332
0,14,4,~,3519,0
0,15,0,2026.2,399811,19732191
0,15,1,2100.0,330636,15744635
0,15,2,2114.7,28379,1342009
0,15,3,1435.7,37982,2645547
0,15,4,~,2814,0
0,16,0,2337.8,344258,14725799
0,16,1,2431.4,290111,11931802
0,16,2,2304.0,20193,876421
0,16,3,1670.5,32033,1917576
0,16,4,~,1921,0
0,17,0,2470.0,260101,10530401
0,17,1,2568.0,221841,8638526
0,17,2,2296.0,12709,553526
0,17,3,1832.6,24527,1338349
0,17,4,~,1024,0
0,18,0,2461.2,160836,6534900
0,18,1,2561.7,138214,5395362
0,18,2,2263.9,6857,302886
0,18,3,1820.9,15235,836652
0,18,4,~,530,0
0,19,0,2093.2,83625,3995002
0,19,1,2155.6,71584,3320913
0,19,2,1921.8,3537,184042
0,19,3,1683.7,8251,490047
0,19,4,~,253,0
0,20,0,~,0,0
0,20,1,~,0,0
0,20,2,~,0,0
0,20,3,~,0,0
0,20,4,~,0,0
1,0,0,27.1,1084,4007266
1,0,1,28.5,805,2822362
1,0,2,20.4,107,525623
1,0,3,22.8,150,659281
1,0,4,~,22,0
1,1,0,23.1,3701,16052591
1,1,1,23.8,2701,11354780
1,1,2,18.6,392,2105073
1,1,3,20.0,518,2592738
1,1,4,~,90,0
1,2,0,13.6,2771,20327352
1,2,1,14.4,2079,14471349
1,2,2,10.3,278,2702377
1,2,3,11.0,346,3153626
1,2,4,~,68,0
1,3,0,14.6,3084,21058368
1,3,1,14.9,2255,15102681
1,3,2,12.7,356,2806305
1,3,3,13.0,410,3149382
1,3,4,~,63,0
1,4,0,24.2,5094,21084872
1,4,1,26.2,3993,15229445
1,4,2,15.7,427,2724801
1,4,3,18.9,593,3130626
1,4,4,~,81,0
1,5,0,36.7,7923,21580429
1,5,1,40.2,6282,15608846
1,5,2,23.4,617,2641523
1,5,3,25.7,855,3330060
1,5,4,~,169,0
1,6,0,53.7,11848,22060318
1,6,1,58.8,9261,15745524
1,6,2,40.2,1051,2612833
1,6,3,35.1,1298,3701961
1,6,4,~,238,0
1,7,0,71.4,15893,22249449
1,7,1,77.6,12392,15977839
1,7,2,56.4,1429,2532070
1,7,3,46.3,1733,3739540
1,7,4,~,339,0
1,8,0,99.3,21777,21930302
1,8,1,104.5,16684,15967216
1,8,2,90.5,2195,2424289
1,8,3,70.4,2492,3538797
1,8,4,~,406,0
1,9,0,151.4,32622,21553423
1,9,1,156.1,24943,15982666
1,9,2,158.5,3649,2302238
1,9,3,106.5,3482,3268519
1,9,4,~,548,0
1,10,0,266.9,56189,21049848
1,10,1,271.0,43066,15890682
1,10,2,319.4,6815,2133974
1,10,3,183.5,5551,3025192
1,10,4,~,757,0
1,11,0,513.1,104274,20321582
1,11,1,518.1,80936,15622066
1,11,2,650.8,12630,1940625
1,11,3,337.5,9311,2758891
1,11,4,~,1397,0
1,12,0,869.9,160570,18459084
1,12,1,875.2,126461,14449837
1,12,2,1164.6,18771,1611735
1,12,3,562.2,13479,2397512
1,12,4,~,1859,0
1,13,0,1363.1,211367,15506022
1,13,1,1378.9,169536,12294826
1,13,2,1787.9,21907,1225326
1,13,3,886.8,17611,1985870
1,13,4,~,2313,0
1,14,0,2015.3,244662,12139929
1,14,1,2046.5,198944,9721303
1,14,2,2577.3,22045,855368
1,14,3,1361.6,21285,1563258
1,14,4,~,2388,0
1,15,0,2479.9,225639,9098850
1,15,1,2544.4,187481,7368401
1,15,2,2794.0,15795,565323
1,15,3,1754.6,20443,1165126
1,15,4,~,1920,0
1,16,0,2897.2,188016,6489651
1,16,1,2986.8,158922,5320802
1,16,2,2947.9,10297,349301
1,16,3,2139.3,17533,819548
1,16,4,~,1264,0
1,17,0,3105.4,133806,4308863
1,17,1,3214.7,114616,3565396
1,17,2,2928.8,5847,199636
