model,label,auroc,avg_prec,f1,brier,prevalence,deterministic
Logistic Regression,hypertension,0.9801,0.9817,0.9198,0.0537,0.4762,True
Logistic Regression,diabetes,0.943,0.8065,0.662,0.0954,0.1451,False
Logistic Regression,cvd_risk,0.7503,0.148,0.2268,0.2066,0.0673,False
Logistic Regression,ckd,0.8624,0.4993,0.4754,0.1517,0.1232,True
Logistic Regression,osa,0.7387,0.4482,0.4882,0.2073,0.2324,False
Logistic Regression,depression,0.56,0.1362,0.2115,0.2471,0.1127,False
Logistic Regression,copd,0.7852,0.2202,0.3016,0.1907,0.0736,False
Logistic Regression,metabolic_syndrome,0.8898,0.824,0.7417,0.1352,0.3579,True
Logistic Regression,hypothyroidism,0.5946,0.0956,0.1695,0.243,0.0751,False
Logistic Regression,prediabetes,0.7438,0.4484,0.6331,0.2205,0.3356,False
Logistic Regression,colorectal_cancer,0.7125,0.0718,0.1254,0.2168,0.0369,False
XGBoost,hypertension,1.0,1.0,0.9978,0.2258,0.4762,True
XGBoost,diabetes,0.9532,0.8313,0.6869,0.0798,0.1451,False
XGBoost,cvd_risk,0.7709,0.1557,0.2264,0.1931,0.0673,False
XGBoost,ckd,0.9199,0.6508,0.5545,0.1187,0.1232,True
XGBoost,osa,0.7532,0.4649,0.5045,0.2046,0.2324,False
XGBoost,depression,0.5497,0.1278,0.2098,0.2475,0.1127,False
XGBoost,copd,0.7952,0.2186,0.2932,0.1871,0.0736,False
XGBoost,metabolic_syndrome,1.0,1.0,0.9974,0.0014,0.3579,True
XGBoost,hypothyroidism,0.586,0.0956,0.1648,0.2454,0.0751,False
XGBoost,prediabetes,0.9366,0.8203,0.8386,0.0909,0.3356,False
XGBoost,colorectal_cancer,0.7099,0.0753,0.1245,0.1974,0.0369,False
