group_col,group,label,auroc,n,n_positive
race,Hispanic,hypertension,1.0,3745,1544
race,Hispanic,diabetes,0.9596,3745,794
race,Hispanic,cvd_risk,0.813,3745,242
race,Hispanic,ckd,0.9066,3745,489
race,Hispanic,osa,0.7496,3745,859
race,Hispanic,depression,0.5492,3745,417
race,Hispanic,copd,0.7982,3745,307
race,Hispanic,metabolic_syndrome,1.0,3745,1484
race,Hispanic,hypothyroidism,0.5735,3745,254
race,Hispanic,prediabetes,0.9345,3745,1224
race,Hispanic,colorectal_cancer,0.7005,3745,97
race,NH Asian,hypertension,1.0,1169,552
race,NH Asian,diabetes,0.958,1169,147
race,NH Asian,cvd_risk,0.7587,1169,76
race,NH Asian,ckd,0.937,1169,165
race,NH Asian,osa,0.7043,1169,216
race,NH Asian,depression,0.5302,1169,131
race,NH Asian,copd,0.7474,1169,79
race,NH Asian,metabolic_syndrome,0.9997,1169,350
race,NH Asian,hypothyroidism,0.5551,1169,92
race,NH Asian,prediabetes,0.9303,1169,443
race,NH Asian,colorectal_cancer,0.7286,1169,46
race,NH Black,hypertension,1.0,2439,1450
race,NH Black,diabetes,0.9576,2439,474
race,NH Black,cvd_risk,0.7575,2439,204
race,NH Black,ckd,0.9085,2439,344
race,NH Black,osa,0.7272,2439,642
race,NH Black,depression,0.5542,2439,241
race,NH Black,copd,0.7519,2439,196
race,NH Black,metabolic_syndrome,1.0,2439,921
race,NH Black,hypothyroidism,0.5693,2439,176
race,NH Black,prediabetes,0.9184,2439,866
race,NH Black,colorectal_cancer,0.6644,2439,91
race,NH White,hypertension,1.0,11895,5641
race,NH White,diabetes,0.9522,11895,1329
race,NH White,cvd_risk,0.7775,11895,796
race,NH White,ckd,0.9286,11895,1356
race,NH White,osa,0.752,11895,2746
race,NH White,depression,0.5722,11895,1257
race,NH White,copd,0.767,11895,914
race,NH White,metabolic_syndrome,1.0,11895,4235
race,NH White,hypothyroidism,0.582,11895,852
race,NH White,prediabetes,0.9383,11895,4129
race,NH White,colorectal_cancer,0.7187,11895,432
race,Other/Multi,hypertension,1.0,752,369
race,Other/Multi,diabetes,0.9539,752,90
race,Other/Multi,cvd_risk,0.7161,752,56
race,Other/Multi,ckd,0.9453,752,103
race,Other/Multi,osa,0.7444,752,186
race,Other/Multi,depression,0.6089,752,82
race,Other/Multi,copd,0.8111,752,58
race,Other/Multi,metabolic_syndrome,0.9985,752,263
race,Other/Multi,hypothyroidism,0.6015,752,53
race,Other/Multi,prediabetes,0.938,752,265
race,Other/Multi,colorectal_cancer,0.6246,752,23
sex,Female,hypertension,1.0,10161,4533
sex,Female,diabetes,0.9527,10161,1114
sex,Female,cvd_risk,0.7948,10161,603
sex,Female,ckd,0.9362,10161,1239
