label,max_auroc,min_auroc,gap,flagged
hypertension,1.0,1.0,0.0,False
diabetes,0.9566,0.9517,0.0049,False
cvd_risk,0.704,0.6714,0.0326,False
ckd,0.9294,0.9065,0.0229,False
osa,0.7594,0.7392,0.0202,False
depression,0.5679,0.5252,0.0427,False
copd,0.8328,0.7643,0.0685,True
metabolic_syndrome,1.0,0.9999,0.0001,False
hypothyroidism,0.5973,0.5528,0.0445,False
prediabetes,0.941,0.9298,0.0112,False
colorectal_cancer,0.7334,0.6057,0.1277,True
hypertension,1.0,1.0,0.0,False
diabetes,0.9562,0.9497,0.0065,False
cvd_risk,0.7684,0.5706,0.1978,True
ckd,0.936,0.9055,0.0305,False
osa,0.7557,0.6904,0.0653,True
depression,0.5238,0.521,0.0028,False
copd,0.7731,0.7702,0.0029,False
metabolic_syndrome,1.0,1.0,0.0,False
hypothyroidism,0.533,0.5187,0.0143,False
prediabetes,0.9421,0.9331,0.009,False
colorectal_cancer,0.7193,0.6794,0.0399,False
hypertension,1.0,1.0,0.0,False
diabetes,0.962,0.9411,0.0209,False
cvd_risk,0.7452,0.6139,0.1313,True
ckd,0.911,0.8434,0.0676,True
osa,0.7578,0.73,0.0278,False
depression,0.5517,0.5369,0.0148,False
copd,0.7793,0.6819,0.0974,True
metabolic_syndrome,1.0,0.9999,0.0001,False
hypothyroidism,0.608,0.5674,0.0406,False
prediabetes,0.9403,0.9361,0.0042,False
colorectal_cancer,0.5309,0.5129,0.018,False
